#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
M                    -          query_5              -            2.4e-12   38.0   4.2   2.4e-12   38.0   4.2   1.7   2   0   0   2   2   2   1 -
DivergentMSTLGMTLLX  -          query_5              -            0.00016   13.3   1.6   0.00031   12.4   1.6   1.4   1   0   0   1   1   1   1 -
S                    -          query_5              -             0.0025    9.3   5.1     0.005    8.3   5.1   1.5   1   1   0   1   1   1   1 -
M                    -          query_6              -            2.4e-12   38.0   4.2   2.4e-12   38.0   4.2   1.7   2   0   0   2   2   2   1 -
DivergentMSTLGMTLLX  -          query_6              -            0.00016   13.3   1.6   0.00031   12.4   1.6   1.4   1   0   0   1   1   1   1 -
S                    -          query_6              -             0.0025    9.3   5.1     0.005    8.3   5.1   1.5   1   1   0   1   1   1   1 -
A                    -          query_10             -            4.1e-26   82.6   3.5     6e-26   82.1   3.5   1.3   1   0   0   1   1   1   1 -
DivergentMRFYIGLMAA  -          query_13             -            1.6e-05   16.1   1.1   3.6e-05   15.0   1.1   1.7   1   0   0   1   1   1   1 -
I2                   -          query_23             -              1e-14   45.6   8.6   1.9e-14   44.8   8.6   1.5   1   0   0   1   1   1   1 -
T                    -          query_24             -            8.6e-17   52.3   3.3   1.4e-16   51.6   3.3   1.4   1   0   0   1   1   1   1 -
DivergentMRCLSIFVLL  -          query_24             -            4.3e-07   21.6   1.0   7.8e-07   20.7   1.0   1.4   1   0   0   1   1   1   1 -
T                    -          query_25             -            6.5e-17   52.7   2.2     1e-16   52.1   2.2   1.3   1   0   0   1   1   1   1 -
DivergentMRCLSIFVLL  -          query_25             -            1.1e-06   20.3   2.4   2.3e-06   19.3   2.4   1.5   1   0   0   1   1   1   1 -
T                    -          query_26             -            1.4e-16   51.6   3.3   2.2e-16   51.0   3.3   1.3   1   0   0   1   1   1   1 -
DivergentMRCLSIFVLL  -          query_26             -            6.6e-07   21.0   1.0   1.2e-06   20.2   1.0   1.4   1   0   0   1   1   1   1 -
#
# Program:         hmmscan
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SCAN
# Query file:      conopep_ident/DB/query.fasta
# Target file:     conopep_ident/DB/superfamily/superfamily
# Option settings: hmmscan --tblout conopep_ident/DB/superfamilys.csv --noali conopep_ident/DB/superfamily/superfamily conopep_ident/DB/query.fasta 
# Current dir:     /home/ubuntu/work/gecheng/test/DeepCono
# Date:            Sat Jul 11 17:33:38 2026
# [ok]
